,date,description,image_url,label
0,2016-03-28 ,This message contains a link that is hosted on a domain that does not belong to Georgia Tech. You can mouse-over the link to see the offending domain. ,https://stats.security.gatech.edu/phishbowl/images/1491404449101572041958e506a1433f5.png,Phishing Message
1,2016-04-06 ,"The message below is not a phishing message. 

The vendor selected to assist the Institute with sexual violence training has sent this as a follow up to the initial training that everyone was required to complete.",https://stats.security.gatech.edu/phishbowl/images/149140506283641363658e509063b428.png,Safe Message
2,2016-04-06 ,This message contains a link that is hosted on a domain that does not belong to Georgia Tech. You can mouse-over the link to see the offending domain.,https://stats.security.gatech.edu/phishbowl/images/1491405613139830397958e50b2d7c2c6.png,Phishing Message
3,2016-04-07 ,This message contains a link that is hosted on a domain that does not belong to Georgia Tech. You can mouse-over the link to see the offending domain.,https://stats.security.gatech.edu/phishbowl/images/149140593024574316958e50c6ad40a3.png,Phishing Message
4,2016-04-11 ,This message contains a link that is hosted on a domain that does not belong to Georgia Tech. You can mouse-over the link to see the offending domain.,https://stats.security.gatech.edu/phishbowl/images/149140618951211438758e50d6d5643a.png,Phishing Message
5,2016-04-17 ,This message contains a link that is hosted on a domain that does not belong to Georgia Tech. You can mouse-over the link to see the offending domain.,https://stats.security.gatech.edu/phishbowl/images/1491406452142463761258e50e7449f53.png,Phishing Message
6,2016-04-18 ,This message contains a link that is hosted on a domain that does not belong to Georgia Tech. You can mouse-over the link to see the offending domain.,https://stats.security.gatech.edu/phishbowl/images/149140676998439958458e50fb1575b4.png,Phishing Message
7,2016-04-25 ,This message contains a link that is hosted on a domain that does not belong to Georgia Tech. You can mouse-over the link to see the offending domain.,https://stats.security.gatech.edu/phishbowl/images/149140778777013386358e513ab37b2e.png,Phishing Message
8,2016-04-25 ,This message contains a link that is hosted on a domain that does not belong to Georgia Tech. You can mouse-over the link to see the offending domain.,https://stats.security.gatech.edu/phishbowl/images/1491408038153553567758e514a630f74.png,Phishing Message
9,2016-04-25 ,This message contains a link that is hosted on a domain that does not belong to Georgia Tech. You can mouse-over the link to see the offending domain.,https://stats.security.gatech.edu/phishbowl/images/149140953899967200158e51a82dc7a2.png,Phishing Message
10,2016-04-26 ,"This is a legitimate request for a survey. 

You will likely see more legitimate links to ""https://gatech.qualtrics.com"" as Georgia Tech now has a contract with Qualtrics to allow campus units to perform internal surveys. 

You can hover over the links in survey emails to verify that they actually go to gatech.qualtrics.com.",https://stats.security.gatech.edu/phishbowl/images/149140988852606397758e51be0f23db.png,Safe Message
